"name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"Central ATX Private Paradise - 3BR/2BA close to DT",2207307,"Elizabeth & Mike",null,78705,30.2991,-97.74167,"Entire home/apt",228,2,142,"2020-03-11",1.95,1,0,0,null
"Lovely & creative artist/musician home by SoCo.",1376031,"Whitney",null,78704,30.24758,-97.7384,"Entire home/apt",407,3,34,"2021-10-04",0.47,1,169,3,null
"""South Central Apartment, Formula 1""",3605974,"Courtney",null,78704,30.2307,-97.76556,"Private room",300,1,0,null,null,1,0,0,null
"""MOD CASA: PRIVATE, HOMEY LOCAL-LIVING/ 78704""",3608356,"Larry",null,78704,30.23573,-97.76233,"Entire home/apt",274,3,197,"2021-09-26",2.11,1,300,21,null
"""Waterfront 1-bed, 2 mi. to Downtown""",3619116,"Amy",null,78741,30.24618,-97.72823,"Entire home/apt",206,2,35,"2021-10-12",0.33,1,1,11,null
"Walk to South Congress from Your Retreat with Heated Pool",3626574,"Bill",null,78704,30.24654,-97.74713,"Entire home/apt",210,1,696,"2021-10-03",21.7,4,324,98,null
"Walk to Zilker - 4 bedroom 3.5 bath",3633458,"Brent",null,78703,30.28243,-97.77596,"Entire home/apt",2250,5,0,null,null,1,0,0,null
"Central East Austin House w. Fenced Backyard",3644573,"Topaz",null,78702,30.26444,-97.69897,"Entire home/apt",132,1,37,"2021-09-26",0.35,2,307,35,null
"SXSW SPECIAL - Lovely 2BD HOME",1208231,"Nadia",null,78704,30.24187,-97.77914,"Entire home/apt",233,5,5,"2016-03-07",0.06,1,0,0,null
"Big Hollow",3659932,"Ken",null,78734,30.39968,-97.91422,"Entire home/apt",1100,1,0,null,null,1,287,0,null
"Charming spacious quiet house ACL",3677807,"Mandy",null,78704,30.23305,-97.78022,"Entire home/apt",500,3,0,null,null,1,0,0,null
"Treetop Guesthouse Monthly Rental * $75 nightly",3295530,"Susan",null,78704,30.24103,-97.76325,"Entire home/apt",75,30,85,"2021-05-15",1.95,1,104,4,null
"Dangerously Comfortable Decompression Oasis",3600437,"Jake",null,78754,30.33652,-97.65128,"Entire home/apt",148,1,257,"2021-09-15",2.65,1,60,19,null
"Waterfront Condo on Lady Bird Lake",393905,"David",null,78741,30.24538,-97.72945,"Entire home/apt",185,2,96,"2021-10-03",3.05,1,222,29,null
"3BD Row Home in Heart of City",3718168,"Caren",null,78723,30.29409,-97.704,"Entire home/apt",219,2,77,"2021-10-11",0.91,1,69,9,null
"""Well-stocked home, GIGABIT net, 1 Gbps up/down!""",3742380,"Paola",null,78702,30.25267,-97.72465,"Entire home/apt",110,30,80,"2021-10-09",1.83,1,286,6,null
"Luxery Lakefront House w/City Views",3769789,"Chris",null,78746,30.29727,-97.7892,"Entire home/apt",5343,360,7,"2015-03-19",0.08,2,363,0,null
"""Modern, Sunny Condo off South 1st""",3787052,"Carol",null,78704,30.238,-97.76486,"Entire home/apt",700,4,8,"2018-03-13",0.12,1,0,0,null
"""Fabulous  House, walk downtown!""",1735494,"Steph And Crew",null,78702,30.25275,-97.72917,"Entire home/apt",614,3,8,"2021-09-20",0.07,2,336,5,null
"""Bold, Historic Manor in the Heart of Town""",3820555,"Justin&Becca",null,78702,30.27221,-97.72846,"Entire home/apt",700,2,263,"2021-09-28",12.44,2,322,35,null
"4 BR 3.5 BA Home in Golf Community",3837842,"Catherine",null,78738,30.32518,-97.97659,"Entire home/apt",1200,3,0,null,null,1,0,0,null
"2000 s.f. house for sxsw!",3005855,"Tami",null,78745,30.18722,-97.78813,"Entire home/apt",375,3,0,null,null,1,0,0,null
"2 Miles From The Domain & Whole Foods!",3842544,"Laura",null,78759,30.41276,-97.72443,"Private room",70,30,15,"2021-04-30",0.16,1,256,2,null
